timestamp,src_ip,dst_ip,src_port,dst_port,protocol,prediction,confidence,alert_level
2025-04-21 21:55:06,192.168.36.175,35.201.127.49,54550,443,UDP,NORMAL,1.0000,HIGH
2025-04-21 21:55:07,35.201.127.49,192.168.36.175,443,54550,UDP,NORMAL,0.9998,HIGH
2025-04-21 21:55:11,192.168.36.175,52.84.12.43,55288,443,TCP,NORMAL,0.9981,HIGH
2025-04-21 21:55:14,35.201.127.49,192.168.36.175,443,55385,TCP,NORMAL,0.9993,HIGH
2025-04-21 21:55:17,52.84.12.43,192.168.36.175,443,55288,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:55:19,192.168.36.175,35.201.127.49,55385,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:55:21,192.168.36.175,35.201.127.49,55384,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:55:24,192.168.36.175,108.158.251.60,55376,443,TCP,NORMAL,0.9981,HIGH
2025-04-21 21:55:26,192.168.36.175,18.67.156.207,55377,443,TCP,NORMAL,0.9981,HIGH
2025-04-21 21:55:29,35.201.127.49,192.168.36.175,443,55384,TCP,NORMAL,0.9993,HIGH
2025-04-21 21:55:31,18.67.156.207,192.168.36.175,443,55377,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:55:33,108.158.251.60,192.168.36.175,443,55376,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:55:36,192.168.36.175,108.158.251.114,54975,443,UDP,NORMAL,0.9998,HIGH
2025-04-21 21:55:38,108.158.251.114,192.168.36.175,443,54975,UDP,NORMAL,0.9993,HIGH
2025-04-21 21:55:41,192.168.36.175,34.237.108.126,55381,443,TCP,NORMAL,0.9981,HIGH
2025-04-21 21:55:43,34.237.108.126,192.168.36.175,443,55381,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:55:46,192.168.36.175,172.67.73.98,55292,443,TCP,NORMAL,0.9981,HIGH
2025-04-21 21:55:48,172.67.73.98,192.168.36.175,443,55292,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:55:53,35.174.127.31,192.168.36.175,443,54018,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:55:55,192.168.36.175,35.201.127.49,54550,443,UDP,NORMAL,1.0000,HIGH
2025-04-21 21:55:58,35.201.127.49,192.168.36.175,443,54550,UDP,NORMAL,0.9993,HIGH
2025-04-21 21:56:00,192.168.36.175,34.139.124.58,55419,443,TCP,NORMAL,0.9989,HIGH
2025-04-21 21:56:03,34.139.124.58,192.168.36.175,443,55419,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:56:05,140.82.113.26,192.168.36.175,443,54525,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:56:08,140.82.112.26,192.168.36.175,443,54174,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:56:10,192.168.36.175,224.0.0.251,5353,5353,UDP,NORMAL,0.9993,HIGH
2025-04-21 21:56:15,192.168.36.175,52.84.12.43,55288,443,TCP,NORMAL,0.9981,HIGH
2025-04-21 21:56:17,52.84.12.43,192.168.36.175,443,55288,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:56:20,192.168.36.175,108.158.251.60,55376,443,TCP,NORMAL,0.9981,HIGH
2025-04-21 21:56:22,192.168.36.175,18.67.156.207,55377,443,TCP,NORMAL,0.9981,HIGH
2025-04-21 21:56:25,18.67.156.207,192.168.36.175,443,55377,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:56:27,108.158.251.60,192.168.36.175,443,55376,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:56:30,192.168.36.175,34.237.108.126,55381,443,TCP,NORMAL,0.9981,HIGH
2025-04-21 21:56:32,34.237.108.126,192.168.36.175,443,55381,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:56:35,192.168.36.175,35.201.127.49,55417,443,TCP,NORMAL,0.9999,HIGH
